iter	Passed	Remaining
0	58	58258
1	58	29244
2	58	19568
3	59	14736
4	59	11836
5	59	9900
6	60	8517
7	60	7478
8	60	6667
9	60	6022
10	61	5493
11	61	5054
12	61	4680
13	61	4361
14	62	4082
15	62	3840
16	62	3626
17	62	3433
18	63	3263
19	63	3110
20	63	2979
21	64	2854
22	64	2739
23	64	2635
24	65	2537
25	65	2447
26	65	2366
27	66	2292
28	66	2220
29	66	2151
30	66	2088
31	67	2030
32	67	1976
33	67	1923
34	67	1874
35	68	1828
36	68	1784
37	68	1742
38	69	1703
39	69	1665
40	69	1628
41	69	1593
42	70	1560
43	70	1529
44	70	1499
45	70	1471
46	71	1443
47	71	1417
48	71	1392
49	72	1368
50	72	1344
51	72	1323
52	72	1303
53	73	1284
54	73	1264
55	73	1244
56	74	1225
57	74	1207
58	74	1192
59	75	1175
60	75	1161
61	75	1144
62	75	1129
63	76	1116
64	76	1102
65	77	1089
66	77	1077
67	77	1064
68	77	1051
69	78	1038
70	78	1025
71	78	1013
72	78	1002
73	79	992
74	79	981
75	79	971
76	80	962
77	80	953
78	80	943
79	81	934
80	81	926
81	81	917
82	82	906
83	82	897
84	82	888
85	82	880
86	83	871
87	83	862
88	83	855
89	83	847
90	84	839
91	84	831
92	84	823
93	84	815
94	84	808
95	85	801
96	85	794
97	85	788
98	85	781
99	86	775
100	86	769
101	86	762
102	86	756
103	87	750
104	87	744
105	87	738
106	87	733
107	88	727
108	88	723
109	88	717
110	88	712
111	89	707
112	89	701
113	89	696
114	89	692
115	90	687
116	90	682
117	90	677
118	90	672
119	91	667
120	91	663
121	91	658
122	91	653
123	91	649
124	92	645
125	92	641
126	92	638
127	93	635
128	93	631
129	93	627
130	94	624
131	94	621
132	94	617
133	95	614
134	95	611
135	95	608
136	96	605
137	96	602
138	96	600
139	97	596
140	97	593
141	97	589
142	97	585
143	97	582
144	98	579
145	98	576
146	98	573
147	99	570
148	99	567
149	99	563
150	99	560
151	99	557
152	100	554
153	100	551
154	100	548
155	100	546
156	101	543
157	101	540
158	101	537
159	101	535
160	102	531
161	102	528
162	102	526
163	102	523
164	102	521
165	103	518
166	103	515
167	103	513
168	103	511
169	104	508
170	104	506
